epoch,accuracy,loss,val_accuracy,val_loss
0,0.8984166383743286,0.3251338005065918,0.9822999835014343,0.05358140915632248
1,0.9716166853904724,0.09238491207361221,0.9869999885559082,0.039017342031002045
2,0.9794833064079285,0.06756942719221115,0.989799976348877,0.03071700967848301
3,0.9832000136375427,0.054132625460624695,0.9882000088691711,0.03457801043987274
4,0.9860666394233704,0.04472414404153824,0.991100013256073,0.027402816340327263
5,0.9874666929244995,0.039891697466373444,0.9887999892234802,0.03555973991751671
6,0.9890333414077759,0.033920224756002426,0.9922999739646912,0.024636160582304
7,0.9905999898910522,0.028720324859023094,0.9914000034332275,0.026866605505347252
8,0.9918000102043152,0.026338456198573112,0.9926999807357788,0.02244178019464016
9,0.9924499988555908,0.024387342855334282,0.9914000034332275,0.028774084523320198
10,0.9921000003814697,0.023362675681710243,0.9918000102043152,0.028492331504821777
11,0.9936666488647461,0.019560247659683228,0.9901000261306763,0.031550999730825424
0,0.9939500093460083,0.018055686727166176,0.9916999936103821,0.028472717851400375
1,0.9943333268165588,0.017509501427412033,0.9926999807357788,0.025201674550771713
2,0.9947999715805054,0.01584572158753872,0.9921000003814697,0.02553596720099449
3,0.9952999949455261,0.014193844050168991,0.9933000206947327,0.023313118144869804
4,0.9955166578292847,0.012638620100915432,0.9936000108718872,0.024161094799637794
5,0.9962833523750305,0.011680220253765583,0.9926999807357788,0.028903573751449585
6,0.9965833425521851,0.010314928367733955,0.9919999837875366,0.030358728021383286
